keyword,frequency
toegang tot wetenschap,2
XS4ALL,2
artificial intelligence,2
best practices,2
open data,2
dataset,2
Digital preservation,2
Scientific publishing,2
Digital sustainability,2
convolutional neural network,2
enrichment,2
podcast,2
Jacobus Heyblocq,2
Bibliotheek,2
Frederik de Wit,2
Atlas de Wit,2
Digital Library for Dutch Literature,2
E-books,2
medieval,2
memes,2
Publiek Domeindag,2
Wiki Loves Monuments,2
public outreach,2
digital cultural heritage,2
social media,2
Reconciliation,2
Digitale vaardigheden,2
Collection,2
Erfgoed,2
Education,2
Large Language Models,2
HTR,2
Digitalisering,2
Visual editor,2
Jongeren,2
Wikicafe,2
Zenodo,2
SlideShare,2
FAIR principles,2
Creative Commons,2
Persistent identifiers,2
Data repositories,2
Nationaal Bibliotheekcongres,2
Het Nationale Bibliotheekcongres,2
Wikimedia coordinator,2
explainer,2
image donations,2
introductiecursus,2
Tilburg,2
Spoorzone Tilburg,2
Rijen,2
Semantic Web in Libraries,2
WikidataCon2021,2
National library,2
SWIB2016,2
NIOD,2
Digitale geesteswetenschappen,2
public domain,2
WCN 2015,2
Wikimedia Conferentie Nederland 2015,2
DISH 2015,2
certification,2
Statistics,2
libraries,2
Metadata,2
kennisdeling,1
Catalogiseren,1
Third Places,1
Big Tech,1
Fediverse,1
Persoonlijke ontwikkeling,1
Personal development,1
open cultural data,1
KB-college,1
laaggeletterdheid,1
digibeten,1
taalvaardig,1
digivaardig,1
21th century skills,1
kleine kernen,1
multifunctioneel,1
ontmoetingsplekken,1
bibliotheek van de toekomst,1
accommodatie,1
KB Researcher-in-residence,1
Machine learning,1
public domain day 2024,1
publiek domein,1
publiek domeindag,1
publieksparticipatie,1
Wiki takes,1
Wikimedia photohunts,1
Wikimedia fotodag,1
GLAMwiki 2015,1
Cultuur in Beeld,1
Computer Vision,1
Visual Datasets,1
Patterns,1
Deep Learning,1
Convolutional Neural Networks,1
Corpus,1
Tools,1
jeugdliteratuur,1
OBA,1
Historicidagen,1
Reuse Semantical,1
Data Reuse,1
Semantical Web,1
Filosofie op de Kaart,1
Filosofie,1
Webarchief,1
Webarchivering,1
Flora Batava,1
Plants,1
Biodiversity,1
Planten,1
Biodiversiteit,1
publiek domeindag 2024,1
Fotodag,1
Publieksparticipatie,1
Bibliotheek Midden-Brabant,1
Kinderboeken,1
Open Nederland,1
Royal Academy of Art (KABK),1
KBAK,1
Jacob Heyblocq Jacobus Heyblocq,1
HackaLOD 2015,1
Oosterhout,1
publiek domeindag 2025,1
public domain day 2025,1
Summer school,1
Digitale collecties,1
Digital collections,1
E-reading,1
Tilburg public library,1
Wikimania,1
Digitaal lezen,1
Artificial Intelligence,1
Danielle Jansen,1
beelddonaties,1
Nederlandsche vogelen,1
Tiel,1
Dutch monuments,1
information skills,1
Boekenwereld,1
KNVI,1
outreach,1
Netwerk Oorlogsbronnen,1
Tolhuistuin,1
Spoorzone,1
Early modern texts,1
Digitalization,1
Text recognition,1
Vroegmoderne teksten,1
Tekstherkenning,1
Digital humanities,1
Media libraries,1
Mediatheken,1
UNESCO,1
Memory of the World,1
GLAMs,1
Sharing is Caring,1
Youth,1
Den Bosch,1
Wikicafe Tilburg,1
Bibliotheek Tilburg,1
Creatief schrijven,1
Cultuurparticipatie,1
Customer journey,1
Klantreis,1
GLAM-wiki,1
schadeatlas,1
conservering,1
restauratie,1
papier,1
Young People,1
Digital Inclusion,1
interview,1
InformatieProfessional,1
Ursula Oberst,1
Koninklijke Bibliothee,1
KB Summerschool 2024,1
structured data on Commons,1
P180,1
tekstkwaliteit,1
ocr,1
erfgoed,1
Heritage,1
Linked data,1
Verbonden erfgoed,1
Collectie,1
Opvoeding,1
Leesopvoeding,1
Web archive,1
Secondary school,1
Middelbare school,1
Creative writing,1
Cultural participation,1
Desinformatie,1
Fake news,1
Nepnieuws,1
Onderwijs,1
Wikibase community,1
Collections as Data,1
Corpus Building,1
Digitale inclusie,1
Digital Skills,1
Openbare Bibliotheken,1
medieval manuscripts,1
P1006,1
P723,1
NTA,1
DBNLa,1
data.bibliotheken.nl,1
Digital Library,1
book club,1
Wikidata_community,1
twitter challenge,1
warcnet,1
books,1
book history,1
treasures,1
treasure hunting,1
Publiek domeindag,1
webcollectie,1
digitale collecties,1
Writing,1
ChatGPT,1
"Sustainable development goals, Libraries",1
Disinformation,1
statistieken,1
Algemeen Letterkundig Lexicon,1
Publiek Domeindag 2020,1
Beeld en Geluid,1
impact,1
Vereniging Open Nederland,1
data reuse,1
Wikimedia Foundation,1
GLAMcamp,1
WCN 2013,1
WCN 2014,1
Nationale Bibliotheekcongres,1
evaluation,1
Sebastiaan ter Burg,1
Digitale Bibliotheek der Nederlandse Letteren,1
Data Registry,1
linkanalyse,1
Bibliotheekmonitor,1
Dutch historical newspapers,1
sshoc_nl,1
findability,1
digitaal,1
fysiek,1
digitaliseren,1
meme,1
internet culture,1
Open data,1
E-data & Research,1
Structured data on Commons,1
SDoC,1
"ocr quality, digitized texts, digital libraries, quality assessment",1
hergebruik,1
hoaxes,1
fake news,1
tools-to-data,1
lhbt,1
lgbt,1
Virtual Research Environment,1
User Interface,1
OCLC,1
Album amicorum Jacob Heyblocq,1
LIBER,1
Royal Academy of Art,1
(KABK),1
reconciliation,1
KB,1
link sustainability,1
web collectie,1
open access boeken,1
open access beleid,1
WCN 2012,1
report,1
Wikimedia projects,1
Anouk Janssen,1
Wikisource,1
speech-to-text,1
automatic-speech-recognition,1
video-to-text,1
audio-transcription,1
chatgpt,1
chatgpt-api,1
archives,1
religion,1
spirituality,1
Parse trees,1
Novels,1
Alpino,1
literature,1
NLP,1
User Needs,1
Digitised text,1
Corpus Selection,1
Poetry,1
Book design,1
Illustrations,1
"Achterberg, Gerrit",1
Typography,1
heritage,1
alba amicorum,1
sparql,1
Chris Lebeau,1
Boekband,1
Batik,1
Nederlands-Indië,1
Bibliotheken,1
Data maturity,1
Datavolwassenheid,1
named entity recognition,1
Trends,1
Toekomst,1
Future,1
reading,1
lezen,1
"text simplification, ARTIST, artificial intelligence, laaggeletterheid, tekst simplificatie",1
wetenschap voor iedereen,1
Universal Dependencies,1
Ebooks,1
Drukgeschiedenis,1
Drukken,1
Uitgeverij,1
Gerrit Krol,1
webcurator tool,1
website,1
"Art Nouveau, Book art, book design, woodcuts, 1890s, Nieuwe Kunst, kustenaarsboeken, boekontwerp, houtsneden, jaren 1890",1
Sprookjes,1
Handschrift,1
Nederland,1
Antwerp,1
Printing press,1
Hans van Liesvelt,1
"Writing-book, Willem Silvius, Manuscript, Calligraphy, Antwerp, Sixteenth Century",1
Louis Couperus,1
Open Access,1
Open Science,1
Working Papers,1
open wetenschap,1
open science,1
overzichtsartikel open science,1
"taal, tekst, digitale_literatuur, AR, innovatie, bibliotheken, publicaties, collectie, digitaal",1
roman,1
De stille kracht,1
Kolonialisme,1
catalogisering,1
trefwoorden,1
thesauri,1
classificatie,1
bibliotheek,1
Systematische catalogus,1
demonstration website,1
Chinese culture,1
china,1
chinese diaspora,1
web archiving history,1
xs4all,1
Twitter,1
Curation,1
Library,1
web incunable,1
deepfake,1
web archives,1
The Netherlands,1
coronavirus,1
"innovatie, libraries, future, makerspace, students, design, onderzoek",1
Preprints,1
user interface,1
historical newsarchive,1
whisper-ai,1
ASR,1
Automatic Speech Recognition,1
whisperAI,1
Digitale Bibliotheek voor de Nederlandse Letteren,1
Sandra Fauconnier,1
Wiki Techstorm 2019,1
Wiki Techstorm,1
wikidata,1
Maastricht University,1
Universiteit Maastricht,1
hoogleraren,1
exploration,1
pandemics,1
"optical character recognition, digital humanities, ocr quality, digital heritage, newspapers",1
reformation,1
persistent digital identifier,1
open access publishing,1
society journals,1
transition to open access,1
digital heritage collections,1
digitized collections,1
regalia,1
"libraries, artificial intelligence",1
Outreach,1
Performance,1
web collections,1
information retrieval,1
Trusted Research Environment,1
digital libraries,1
optical character recognition,1
historical printed collections,1
blackletter,1
ICT with industry,1
archaeology,1
Books,1
Text quality,1
Dutch,1
kunstenaars,1
visievorming,1
innovatie,1
reizen,1
datasamenleving,1
data,1
digitaal_burgerschap,1
openbare_bibliotheken,1
"Artificial Intelligence, libraries, principles",1
"AI, library, kunstmatige intelligentie, prncipes",1
identity,1
imagology,1
web archiving webarchiving corona covid-19,1
Internet Archive,1
"artificial intelligence, library, GLAM, kunstmatige intelligentie, AI,",1
hackathon,1
ethics,1
netherlands,1
Libraries,1
Kunstmatige Intelligentie,1
blogosfeer,1
"digital heritage, collections, Delpher, website, text analyses",1
national bibliography,1
Brinkman,1
collection policy,1
Ghent University Facultyday,1
jpylyzer,1
open preservation foundation,1
researcher-in-residence,1
crowns,1
link ranking,1
Friesland,1
metrics,1
special collections,1
Mediagebruik,1
Media usage,1
Metamorfoze,1
Conservering,1
collectietransport,1
veiligheid,1
PDF,1
"Digital Humanities, Library,",1
"Computer Vision, Distant viewing, Digitized newspapers",1
"Digital Humanities, libraries",1
"Machine learning, linked data, Wikidata",1
data science,1
Voor- en vroegschoolse educatie,1
BoekStart,1
Belastingdienst,1
basisvaardigheden,1
Political thought,1
coronation,1
early modern period,1
Emperor Matthias,1
tapes,1
digital forensics,1
LSTM,1
Open Archival Information system,1
friesland,1
"metadata, artificial intelligence, library, GLAM, kunstmatige intelligentie, AI, machine learning",1
professors,1
Open access,1
entity linking,1
semantic search,1
machine learning,1
crowdsourcing,1
Preservation Policy,1
NCDD,1
photographs,1
computer vision,1
epub,1
researcher in residence,1
cultural heritage collections,1
skill-building,1
academic library,1
digitale duurzaamheid,1
digital dark age,1
reading revolutions,1
machine reading,1
deep learning,1
neural networks,1
periodicals,1
kb lab,1
KB National Library of the Netherlands,1
Planets,1
preservation planning,1
preservation watch,1
arsenic,1
"Systems,",1
Applications,1
Multimedia Document Processing,1
named entities,1
Network Cultural Heritage,1
Digital Heritage,1
Linked Data,1
history of reading,1
Portable Document Format,1
optical media,1
onderzoek,1
portfolio,1
Statistieken,1
prototyping,1
innovation,1
library design,1
